serial,question,option1,option2,option3,option4,correct,subject
1," The ratio of the cost prices of two articles A and B is 4:5.The articles are sold at a profit with their selling prices being in the ratio 5:6.If the profit on article A is half of its cost price, find the ratio of the profits on the articles A and B?",7:10ÿ,9:11ÿÿÿÿÿÿÿÿ,05:09,10:11,d,quants
2,"A, B and C start at the same time in the same direction to run around a circular stadium. A completes a round in 252 seconds, B in 308 seconds and c in 198 seconds, all starting at the same point. After what time will they again at the starting point ?",26 minutes and 18 seconds,42 minutes and 36 seconds,45 minutes,46 minutes and 12 seconds,d,quants
3,"Two busesÿ A and B leave the same bus depot, A towards the North and B towads the East. The bus A travels at a speed of 5 km/hr more than that of the bus B. If after four hours the distance between the two buses is 100 km, find the speed of the bus A.",60 kmphÿÿÿÿÿ ,40 kmphÿÿÿÿÿ ,20 kmphÿÿÿÿÿ ,15 kmph,c,quants
4,Rakesh invested an amount of Rs.12000 at the rate of 10% simple interest and another amount at the rate of 20% simple interest. The total interest earned at the end of one year on the amount invested became 14 p.c.p.a. Find the total amount invested .,Rs.20000,Rs.22000ÿÿÿÿÿ ,Rs.24000ÿÿÿÿ ,Rs.25000,a,quants
5,A person traveled from his house to office at 30 kmph; then he was late to his office by 5 minutes. If he increases his speed by 10 kmph he would be early by 15 minutes to his office. What should be his speed so that he reaches his office on time ?,36 kmphÿÿÿÿ ,32 kmphÿÿÿÿÿ ,34 kmphÿÿÿÿÿ ,35 kmph,b,quants
6," Ram starts working on a job and works on it for 12 days and completes 40% of the work. To help him complete the work, he employs Ravi and together they work for another 12 days and the work gets completed. How much more efficient is Ram than Ravi?",50%, 200%ÿÿ, 60%ÿÿÿÿÿÿÿÿÿÿÿÿ,100%,d,quants
7,Nineÿ personsÿ wentÿ toÿ a hotelÿ forÿ takingÿ their meals. Eightÿ ofÿ themÿ spent Rs 12ÿÿ eachÿ onÿtheirÿ mealsÿ andÿ theÿ ninth spentÿ Rs.8ÿ moreÿ thanÿ theÿ averageÿ expenditureÿ ofÿ allÿ the ÿnine.ÿWhatÿ wasÿ theÿ total moneyÿ spentÿ byÿ them?ÿ,117,ÿÿÿ  180,ÿÿÿ  150,ÿÿÿ 200ÿÿÿÿÿÿ,a,quants
8,"Inÿ anÿ examÿ 80%ÿ ofÿ theÿ boysÿ andÿ 40%ÿ ofÿ the girlsÿ passed.ÿ The numberÿ ofÿ girlsÿ whoÿ passedÿ isÿ 120, whichÿ isÿ 2 by 3rdÿofÿ theÿ numberÿ ofÿ boysÿ whoÿ failed.ÿ Whatÿ isÿ theÿ totalÿ numberÿ ofÿ studentsÿ whoÿ appearedÿ forÿ theÿ exam?",1200,380,3800,2180ÿÿ,a,quants
9,A sum of money invested for a certain number of years at 8% p.a. simple interest grows to Rs.180. The same sum of money invested for the same number of years at 4% p.a. simple interest grows to Rs.120 only. For how many years was the sum invested?,25 yearsÿ, 40 yearsÿ,33 years and 4 monthsÿ,Cannot be determined,a,quants
10,"An escalator moves towards the top level at the rate of 11 ft.sec and its length is 140 feet. If a person walks on the moving escalator at the rate of 3 feet per second towards the top level, how much time does he take to cover the entire length.",14 secÿÿÿÿÿÿÿÿÿ ,10 secÿÿÿÿÿÿÿÿÿ ,12 secÿÿÿÿÿÿÿÿÿ ,8 sec,b,quants
