serial,question,option1,option2,option3,option4,correct,subject
1,A train running at the speed of 60 km/hr crosses a pole in 9 seconds. What is the length of the train?,120 metres,180 metres,324 metres,150 metres,d,quants
2,Two trains running in opposite directions cross a man standing on the platform in 27 seconds and 17 seconds respectively and they cross each other in 23 seconds. The ratio of their speeds is:,01:03,03:02,03:04,None of these,b,quants
3,A train 240 m long passes a pole in 24 seconds. How long will it take to pass a platform 650 m long,65 sec,89 sec,100 sec,150 sec,b,quants
4,Two trains of equal length are running on parallel lines in the same direction at 46 km/hr and 36 km/hr. The faster train passes the slower train in 36 seconds. The length of each train is:,50 m,72 m,80 m,82 m,a,quants
5,A train 360 m long is running at a speed of 45 km/hr. In what time will it pass a bridge 140 m long?,40 sec,42 sec,45 sec,48 sec,a,quants
6,Two trains are moving in opposite directions @ 60 km/hr and 90 km/hr. Their lengths are 1.10 km and 0.9 km respectively. The time taken by the slower train to cross the faster train in seconds is:,36,45,48,49,c,quants
7,A jogger running at 9 kmph alongside a railway track in 240 metres ahead of the engine of a 120 metres long train running at 45 kmph in the same direction. In how much time will the train pass the jogger?,3.6 sec,18 sec,36 sec,72 sec,c,quants
8,A 270 metres long train running at the speed of 120 kmph crosses another train running in opposite direction at the speed of 80 kmph in 9 seconds. What is the length of the other train?,230 m,240 m,260 m,320 m,a,quants
9,A goods train runs at the speed of 72 kmph and crosses a 250 m long platform in 26 seconds. What is the length of the goods train?,230 m,240 m,260 m,270 m,d,quants
10,A train 110 metres long is running with a speed of 60 kmph. In what time will it pass a man who is running at 6 kmph in the direction opposite to that in which the train is going?,5 sec,6 sec,7 sec,10 sec,b,quants
11,The difference between the local value and face value of 7 in the      numeral 657903 is:,0,7896,6993,903,c,quants
12, The unit?s digit in the product (3127)173˜˜is:,1,3,7,9,c,quants
13,(51+52+53+???+100) is equal to:,2525,2975,3225,3775,d,quants
14, The number 311311311311311311311 is:,divisible by 3 but not by 11,divisible by 11 but not by 3,divisible by both 3 and 11,neither divisible by 3 nor by 11,d,quants
15,The largest natural number which exactly divides the product of any four consecutive natural numbers is:,6,12,24,120,c,quants
16, The sum of three consecutive odd numbers is always divisible by  I. 2˜˜ II. 3˜˜˜˜III. 5˜˜ IV. 6,only 1,only 2,only  1 and 2,only 2 and 4,b,quants
17,The least number which must be subtracted from 6709 to make it exactly˜ divisible by 9 is:,2,3,4,5,c,quants
18,A number when divided b the sum of 555 and 445 gives two times their difference as quotient and 30 as the remainder. The number is:,1220˜˜,1250˜,22030,22030,d,quants
19,The binary equivalent of the decimal number 125 is,1100100,1111101,1101100,1111111,b,quants
20,The hexa decimal equivalent of the decimal number 128 is,128,175,80,81,c,quants
21,The decimal number 1356 expressed in octal system equals,2514,125,353,235,a,quants
22,The decimal conversion of the binary number (1111)2˜is?..,31,15,13,14,b,quants
23,The sum of (101101)2˜and (111011)2˜is,1010110,1101000,1000110˜,1110010,b,quants
24,The square root of (2011)5˜is,(21)5 ˜ ˜ ˜,(31)5˜˜˜˜˜˜˜˜˜˜˜˜˜˜˜˜˜ ,(121)5˜˜˜˜˜˜˜˜˜˜˜˜˜˜˜˜ ,(41)5,b,quants
25,The sum of (6E)16˜and (3B)12˜is,(157)10˜ ˜ ˜ ˜,(137)11,(166)8,(192)7,a,quants
26,The decimal equivalent of hexa-decimal number (ABC)16,2847˜,2748,7428,1478,b,quants
27,The decimal fraction 0.75 in the binary system equals,0.11 ˜ ˜ ˜ ˜ ,0,0.1,0.111,a,quants
28,The octal equivalent to the binary (11010)2˜is,26,32,28,30,a,quants
29,117 * 117 + 83 * 83 = ?,20698,20578,21698,21268,b,quants
30,(1/4)3 + (3/4)3 + 3(1/4)(3/4)(1/4 + 3/4) =?,Jan-64,27/64,49/64,1,d,quants
31,The 7th digit of (202)3˜is,2,4,8,6,c,quants
32,H.C.F. of two numbers is 16. Which one of the following can never be their L.C.M,32,80,64,60,d,quants
